gene,rank,cancer_type,expression
CTLA4,27,Ovary Serous Cystadenocarcinoma (TCGA),0.7828558739255015
CTLA4,28,Liver Hepatocellular Carcinoma (TCGA),0.749914640883978
CTLA4,29,Ovary Serous Cystadenocarcinoma (validation),0.7459222222222222
CTLA4,30,Kidney Renal Papillary Cell Carcinoma (TCGA),0.5835638297872341
CTLA4,31,Kidney Chromophobe (TCGA),0.063978125
TIGIT,1,Breast Invasive Carcinoma (validation),13.835835999999999
TIGIT,2,Lung Squamous Cell Carcinoma (validation),12.08407205882353
TIGIT,3,Lung Adenocarcinoma (validation),10.485015238095238
TIGIT,4,Testicular Germ Cell Tumor (TCGA),7.807453383458647
TIGIT,5,Lung Squamous Cell Carcinoma (TCGA),6.2057918200409
TIGIT,6,Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA),5.771681272084805
TIGIT,7,Lung Adenocarcinoma (TCGA),5.752283299798792
TIGIT,8,Colon Adenocarcinoma (validation),5.610505967078189
TIGIT,9,Head and Neck Squamous Cell Carcinoma (TCGA),5.547109146341464
TIGIT,10,Kidney Renal Clear Cell Carcinoma (validation),5.5461
TIGIT,11,Bladder Urothelial Carcinoma (TCGA),5.116528402366864
TIGIT,12,Uterine Corpus Endometrial Carcinoma (TCGA),4.628453409090909
TIGIT,13,Rectum Adenocarcinoma (validation),4.562690338164251
TIGIT,14,Breast Invasive Carcinoma (TCGA),4.5064387475538155
TIGIT,15,Kidney Renal Clear Cell Carcinoma (TCGA),4.194320153550864
TIGIT,16,Stomach Adenocarcinoma (TCGA),4.15543063583815
TIGIT,17,Pancreatic Adenocarcinoma (TCGA),3.557911931818182
TIGIT,18,Skin Cuteneous Melanoma (TCGA),3.543649494949495
TIGIT,19,Liver Hepatocellular Carcinoma (validation),2.907085714285714
TIGIT,20,Colon Adenocarcinoma (TCGA),2.8229748031496067
TIGIT,21,Prostate Adenocarcinoma (TCGA),2.5705347916666668
TIGIT,22,Rectum Adenocarcinoma (TCGA),2.3207579545454546
TIGIT,23,Thyroid Carcinoma (TCGA),2.180151717171717
TIGIT,24,Pancreatic Adenocarcinoma (validation),2.17568875
TIGIT,25,Glioblastoma Multiforme (validation),1.627443103448276
TIGIT,26,Liver Hepatocellular Carcinoma (TCGA),1.5356613259668508
