gene,rank,cell_type,expression
TNFRSF9,6,classical_monocyte,1.6
TNFRSF9,7,naive_cd8_t_cell,1.6
TNFRSF9,8,myeloid_dc,1.2
TNFRSF9,9,memory_cd4_t_cell,1.0
TNFRSF9,10,basophil,0.9
TNFRSF9,11,total_pbmc,0.7
TNFRSF9,12,intermediate_monocyte,0.5
TNFRSF9,13,naive_b_cell,0.3
TNFRSF9,14,eosinophil,0.2
TNFRSF9,15,mait_t_cell,0.2
TNFRSF9,16,naive_cd4_t_cell,0.2
TNFRSF9,17,plasmacytoid_dc,0.2
TNFRSF9,18,memory_b_cell,0.1
TNFRSF9,19,non_classical_monocyte,0.1
TOX,1,t_reg,31.5
TOX,2,nk_cell,19.6
TOX,3,memory_cd8_t_cell,18.0
TOX,4,basophil,15.8
TOX,5,gdt_cell,12.7
TOX,6,naive_cd8_t_cell,9.4
TOX,7,memory_cd4_t_cell,8.0
TOX,8,mait_t_cell,5.3
TOX,9,memory_b_cell,3.8
TOX,10,naive_cd4_t_cell,3.0
TOX,11,eosinophil,2.6
TOX,12,total_pbmc,2.5
TOX,13,myeloid_dc,1.2
TOX,14,naive_b_cell,0.8
TOX,15,neutrophil,0.2
TOX,16,classical_monocyte,0.1
TOX,17,intermediate_monocyte,0.0
TOX,18,non_classical_monocyte,0.0
TOX,19,plasmacytoid_dc,0.0
