gene,sample,cancer_type,expression
PDCD1,TCGA-2F-A9KO-01A,Bladder Urothelial Carcinoma (TCGA),3.2244
PDCD1,TCGA-2F-A9KP-01A,Bladder Urothelial Carcinoma (TCGA),0.2679
PDCD1,TCGA-2F-A9KR-01A,Bladder Urothelial Carcinoma (TCGA),0.0
PDCD1,TCGA-2F-A9KW-01A,Bladder Urothelial Carcinoma (TCGA),0.1096
PDCD1,TCGA-4Z-AA7N-01A,Bladder Urothelial Carcinoma (TCGA),9.6199
PDCD1,TCGA-4Z-AA7Q-01A,Bladder Urothelial Carcinoma (TCGA),2.367
PDCD1,TCGA-4Z-AA7R-01A,Bladder Urothelial Carcinoma (TCGA),0.0685
PDCD1,TCGA-4Z-AA7S-01A,Bladder Urothelial Carcinoma (TCGA),0.0
PDCD1,TCGA-4Z-AA80-01A,Bladder Urothelial Carcinoma (TCGA),0.0
PDCD1,TCGA-4Z-AA81-01A,Bladder Urothelial Carcinoma (TCGA),0.0
PDCD1,TCGA-4Z-AA82-01A,Bladder Urothelial Carcinoma (TCGA),0.3412
PDCD1,TCGA-4Z-AA86-01A,Bladder Urothelial Carcinoma (TCGA),5.3308
PDCD1,TCGA-5N-A9KI-01A,Bladder Urothelial Carcinoma (TCGA),0.5339
PDCD1,TCGA-5N-A9KM-01A,Bladder Urothelial Carcinoma (TCGA),0.4606
PDCD1,TCGA-BL-A13I-01A,Bladder Urothelial Carcinoma (TCGA),0.0
PDCD1,TCGA-BL-A13J-01A,Bladder Urothelial Carcinoma (TCGA),0.5346
PDCD1,TCGA-BL-A3JM-01A,Bladder Urothelial Carcinoma (TCGA),3.1193
PDCD1,TCGA-BT-A0S7-01A,Bladder Urothelial Carcinoma (TCGA),0.1527
PDCD1,TCGA-BT-A0YX-01A,Bladder Urothelial Carcinoma (TCGA),1.5484
PDCD1,TCGA-BT-A20J-01A,Bladder Urothelial Carcinoma (TCGA),2.3928
PDCD1,TCGA-BT-A20N-01A,Bladder Urothelial Carcinoma (TCGA),0.1595
PDCD1,TCGA-BT-A20O-01A,Bladder Urothelial Carcinoma (TCGA),57.5826
PDCD1,TCGA-BT-A20P-01A,Bladder Urothelial Carcinoma (TCGA),0.0
PDCD1,TCGA-BT-A20Q-01A,Bladder Urothelial Carcinoma (TCGA),2.2735
PDCD1,TCGA-BT-A20T-01A,Bladder Urothelial Carcinoma (TCGA),0.0
PDCD1,TCGA-BT-A20U-01A,Bladder Urothelial Carcinoma (TCGA),3.6872
PDCD1,TCGA-BT-A20V-01A,Bladder Urothelial Carcinoma (TCGA),0.6761
PDCD1,TCGA-BT-A20W-01A,Bladder Urothelial Carcinoma (TCGA),1.0702
PDCD1,TCGA-BT-A20X-01A,Bladder Urothelial Carcinoma (TCGA),0.6504
PDCD1,TCGA-BT-A2LB-01A,Bladder Urothelial Carcinoma (TCGA),1.302
PDCD1,TCGA-BT-A2LD-01A,Bladder Urothelial Carcinoma (TCGA),0.6919
PDCD1,TCGA-BT-A3PH-01A,Bladder Urothelial Carcinoma (TCGA),0.131
PDCD1,TCGA-BT-A3PK-01A,Bladder Urothelial Carcinoma (TCGA),0.8828
PDCD1,TCGA-C4-A0EZ-01A,Bladder Urothelial Carcinoma (TCGA),0.1777
PDCD1,TCGA-C4-A0F7-01A,Bladder Urothelial Carcinoma (TCGA),0.0926
PDCD1,TCGA-CF-A47T-01A,Bladder Urothelial Carcinoma (TCGA),0.0186
PDCD1,TCGA-CF-A9FL-01A,Bladder Urothelial Carcinoma (TCGA),0.1135
PDCD1,TCGA-CU-A0YN-01A,Bladder Urothelial Carcinoma (TCGA),1.1616
PDCD1,TCGA-CU-A0YO-01A,Bladder Urothelial Carcinoma (TCGA),0.7747
PDCD1,TCGA-CU-A0YR-01A,Bladder Urothelial Carcinoma (TCGA),1.1062
PDCD1,TCGA-CU-A5W6-01A,Bladder Urothelial Carcinoma (TCGA),0.5431
PDCD1,TCGA-CU-A72E-01A,Bladder Urothelial Carcinoma (TCGA),0.1501
PDCD1,TCGA-DK-A1A3-01A,Bladder Urothelial Carcinoma (TCGA),1.4189
PDCD1,TCGA-DK-A1A5-01A,Bladder Urothelial Carcinoma (TCGA),0.8308
PDCD1,TCGA-DK-A1AB-01A,Bladder Urothelial Carcinoma (TCGA),1.5218
PDCD1,TCGA-DK-A2HX-01A,Bladder Urothelial Carcinoma (TCGA),12.0692
PDCD1,TCGA-DK-A2I2-01A,Bladder Urothelial Carcinoma (TCGA),0.68
PDCD1,TCGA-DK-A3IK-01A,Bladder Urothelial Carcinoma (TCGA),0.3024
PDCD1,TCGA-DK-A3IL-01A,Bladder Urothelial Carcinoma (TCGA),0.0
PDCD1,TCGA-DK-A3IM-01A,Bladder Urothelial Carcinoma (TCGA),0.0
PDCD1,TCGA-DK-A3IN-01A,Bladder Urothelial Carcinoma (TCGA),0.0
PDCD1,TCGA-DK-A3IQ-01A,Bladder Urothelial Carcinoma (TCGA),0.0896
PDCD1,TCGA-DK-A3IU-01A,Bladder Urothelial Carcinoma (TCGA),18.998
PDCD1,TCGA-DK-A3X2-01A,Bladder Urothelial Carcinoma (TCGA),0.0
PDCD1,TCGA-DK-AA6L-01A,Bladder Urothelial Carcinoma (TCGA),3.8728
PDCD1,TCGA-DK-AA6Q-01A,Bladder Urothelial Carcinoma (TCGA),6.8656
PDCD1,TCGA-DK-AA6W-01A,Bladder Urothelial Carcinoma (TCGA),0.7931
PDCD1,TCGA-DK-AA75-01A,Bladder Urothelial Carcinoma (TCGA),0.0
PDCD1,TCGA-E5-A4TZ-01A,Bladder Urothelial Carcinoma (TCGA),0.2449
PDCD1,TCGA-E7-A3X6-01A,Bladder Urothelial Carcinoma (TCGA),2.2758
PDCD1,TCGA-E7-A4XJ-01A,Bladder Urothelial Carcinoma (TCGA),0.0154
PDCD1,TCGA-E7-A541-01A,Bladder Urothelial Carcinoma (TCGA),8.1691
PDCD1,TCGA-E7-A97P-01A,Bladder Urothelial Carcinoma (TCGA),3.2896
PDCD1,TCGA-FD-A3B3-01A,Bladder Urothelial Carcinoma (TCGA),5.4711
PDCD1,TCGA-FD-A3B4-01A,Bladder Urothelial Carcinoma (TCGA),3.5655
PDCD1,TCGA-FD-A3B5-01A,Bladder Urothelial Carcinoma (TCGA),0.135
PDCD1,TCGA-FD-A3B6-01A,Bladder Urothelial Carcinoma (TCGA),6.8544
PDCD1,TCGA-FD-A3B7-01A,Bladder Urothelial Carcinoma (TCGA),8.2738
PDCD1,TCGA-FD-A3N5-01A,Bladder Urothelial Carcinoma (TCGA),0.9139
PDCD1,TCGA-FD-A3SJ-01A,Bladder Urothelial Carcinoma (TCGA),0.3172
PDCD1,TCGA-FD-A3SL-01A,Bladder Urothelial Carcinoma (TCGA),0.0
PDCD1,TCGA-FD-A3SM-01A,Bladder Urothelial Carcinoma (TCGA),0.1365
PDCD1,TCGA-FD-A3SO-01A,Bladder Urothelial Carcinoma (TCGA),0.0
PDCD1,TCGA-FD-A3SQ-01A,Bladder Urothelial Carcinoma (TCGA),0.8832
PDCD1,TCGA-FD-A3SR-01A,Bladder Urothelial Carcinoma (TCGA),0.0
PDCD1,TCGA-FD-A3SS-01A,Bladder Urothelial Carcinoma (TCGA),0.0962
PDCD1,TCGA-FD-A43Y-01A,Bladder Urothelial Carcinoma (TCGA),1.089
PDCD1,TCGA-FD-A5BT-01A,Bladder Urothelial Carcinoma (TCGA),8.3466
PDCD1,TCGA-FD-A5BV-01A,Bladder Urothelial Carcinoma (TCGA),0.0737
PDCD1,TCGA-FD-A5BX-01A,Bladder Urothelial Carcinoma (TCGA),0.0
PDCD1,TCGA-FD-A5BZ-01A,Bladder Urothelial Carcinoma (TCGA),0.0
PDCD1,TCGA-FD-A5C0-01A,Bladder Urothelial Carcinoma (TCGA),0.3634
PDCD1,TCGA-FD-A62O-01A,Bladder Urothelial Carcinoma (TCGA),0.0739
PDCD1,TCGA-FD-A62P-01A,Bladder Urothelial Carcinoma (TCGA),1.923
PDCD1,TCGA-FD-A62S-01A,Bladder Urothelial Carcinoma (TCGA),0.0
PDCD1,TCGA-FD-A6TD-01A,Bladder Urothelial Carcinoma (TCGA),1.9324
PDCD1,TCGA-FD-A6TF-01A,Bladder Urothelial Carcinoma (TCGA),0.7229
PDCD1,TCGA-FD-A6TG-01A,Bladder Urothelial Carcinoma (TCGA),0.9552
PDCD1,TCGA-FD-A6TH-01A,Bladder Urothelial Carcinoma (TCGA),0.6434
PDCD1,TCGA-FD-A6TI-01A,Bladder Urothelial Carcinoma (TCGA),0.4598
PDCD1,TCGA-FJ-A3Z9-01A,Bladder Urothelial Carcinoma (TCGA),0.014
PDCD1,TCGA-FJ-A3ZE-01A,Bladder Urothelial Carcinoma (TCGA),0.0
PDCD1,TCGA-FJ-A871-01A,Bladder Urothelial Carcinoma (TCGA),0.1444
PDCD1,TCGA-G2-A2EC-01A,Bladder Urothelial Carcinoma (TCGA),1.2053
PDCD1,TCGA-G2-A2EL-01A,Bladder Urothelial Carcinoma (TCGA),0.0575
PDCD1,TCGA-G2-A2EO-01A,Bladder Urothelial Carcinoma (TCGA),3.2907
PDCD1,TCGA-G2-A2ES-01A,Bladder Urothelial Carcinoma (TCGA),1.1
PDCD1,TCGA-G2-A3IB-01A,Bladder Urothelial Carcinoma (TCGA),0.2142
PDCD1,TCGA-G2-A3IE-01A,Bladder Urothelial Carcinoma (TCGA),0.0
PDCD1,TCGA-G2-AA3C-01A,Bladder Urothelial Carcinoma (TCGA),0.0
PDCD1,TCGA-GC-A3BM-01A,Bladder Urothelial Carcinoma (TCGA),0.6961
PDCD1,TCGA-GC-A3I6-01A,Bladder Urothelial Carcinoma (TCGA),0.0
PDCD1,TCGA-GU-A42P-01A,Bladder Urothelial Carcinoma (TCGA),0.0
PDCD1,TCGA-GU-A42Q-01A,Bladder Urothelial Carcinoma (TCGA),0.0972
PDCD1,TCGA-GU-A42R-01A,Bladder Urothelial Carcinoma (TCGA),0.0725
PDCD1,TCGA-GU-A762-01A,Bladder Urothelial Carcinoma (TCGA),10.5118
PDCD1,TCGA-GU-A767-01A,Bladder Urothelial Carcinoma (TCGA),0.0
PDCD1,TCGA-GU-AATO-01A,Bladder Urothelial Carcinoma (TCGA),0.9648
PDCD1,TCGA-GU-AATQ-01A,Bladder Urothelial Carcinoma (TCGA),0.7816
PDCD1,TCGA-GV-A3JV-01A,Bladder Urothelial Carcinoma (TCGA),0.4277
PDCD1,TCGA-GV-A3QF-01A,Bladder Urothelial Carcinoma (TCGA),0.0258
PDCD1,TCGA-GV-A3QH-01A,Bladder Urothelial Carcinoma (TCGA),0.1145
PDCD1,TCGA-GV-A40E-01A,Bladder Urothelial Carcinoma (TCGA),2.8314
PDCD1,TCGA-HQ-A5ND-01A,Bladder Urothelial Carcinoma (TCGA),0.2438
PDCD1,TCGA-HQ-A5NE-01A,Bladder Urothelial Carcinoma (TCGA),0.363
PDCD1,TCGA-K4-A4AC-01A,Bladder Urothelial Carcinoma (TCGA),1.3335
PDCD1,TCGA-K4-A5RI-01A,Bladder Urothelial Carcinoma (TCGA),0.2465
PDCD1,TCGA-S5-A6DX-01A,Bladder Urothelial Carcinoma (TCGA),2.5384
PDCD1,TCGA-SY-A9G0-01A,Bladder Urothelial Carcinoma (TCGA),3.9908
PDCD1,TCGA-UY-A78K-01A,Bladder Urothelial Carcinoma (TCGA),5.3197
PDCD1,TCGA-UY-A78M-01A,Bladder Urothelial Carcinoma (TCGA),0.0363
PDCD1,TCGA-UY-A78N-01A,Bladder Urothelial Carcinoma (TCGA),0.1795
PDCD1,TCGA-XF-A8HC-01A,Bladder Urothelial Carcinoma (TCGA),0.0
PDCD1,TCGA-XF-A8HF-01A,Bladder Urothelial Carcinoma (TCGA),0.4765
PDCD1,TCGA-XF-A8HG-01A,Bladder Urothelial Carcinoma (TCGA),0.0373
PDCD1,TCGA-XF-A8HH-01A,Bladder Urothelial Carcinoma (TCGA),0.4695
PDCD1,TCGA-XF-A8HI-01A,Bladder Urothelial Carcinoma (TCGA),0.6423
PDCD1,TCGA-XF-A9SH-01A,Bladder Urothelial Carcinoma (TCGA),0.162
PDCD1,TCGA-XF-A9SJ-01A,Bladder Urothelial Carcinoma (TCGA),0.0
PDCD1,TCGA-XF-A9SK-01A,Bladder Urothelial Carcinoma (TCGA),1.661
PDCD1,TCGA-XF-A9SL-01A,Bladder Urothelial Carcinoma (TCGA),0.0
PDCD1,TCGA-XF-A9SP-01A,Bladder Urothelial Carcinoma (TCGA),0.8568
PDCD1,TCGA-XF-A9ST-01A,Bladder Urothelial Carcinoma (TCGA),0.0
PDCD1,TCGA-XF-A9SU-01A,Bladder Urothelial Carcinoma (TCGA),0.0
PDCD1,TCGA-XF-A9SV-01A,Bladder Urothelial Carcinoma (TCGA),0.0
PDCD1,TCGA-XF-A9SW-01A,Bladder Urothelial Carcinoma (TCGA),7.9142
PDCD1,TCGA-XF-A9SX-01A,Bladder Urothelial Carcinoma (TCGA),0.0
PDCD1,TCGA-XF-A9SZ-01A,Bladder Urothelial Carcinoma (TCGA),0.6507
PDCD1,TCGA-XF-A9T2-01A,Bladder Urothelial Carcinoma (TCGA),0.0
PDCD1,TCGA-XF-A9T8-01A,Bladder Urothelial Carcinoma (TCGA),6.299
PDCD1,TCGA-XF-AAME-01A,Bladder Urothelial Carcinoma (TCGA),15.9428
PDCD1,TCGA-XF-AAMH-01A,Bladder Urothelial Carcinoma (TCGA),1.1367
PDCD1,TCGA-XF-AAMJ-01A,Bladder Urothelial Carcinoma (TCGA),0.0
PDCD1,TCGA-XF-AAML-01A,Bladder Urothelial Carcinoma (TCGA),2.8004
PDCD1,TCGA-XF-AAMT-01A,Bladder Urothelial Carcinoma (TCGA),0.2422
PDCD1,TCGA-XF-AAMW-01A,Bladder Urothelial Carcinoma (TCGA),0.9208
PDCD1,TCGA-XF-AAMX-01A,Bladder Urothelial Carcinoma (TCGA),0.0
PDCD1,TCGA-XF-AAMZ-01A,Bladder Urothelial Carcinoma (TCGA),0.0
PDCD1,TCGA-XF-AAN0-01A,Bladder Urothelial Carcinoma (TCGA),1.996
PDCD1,TCGA-XF-AAN1-01A,Bladder Urothelial Carcinoma (TCGA),0.2137
PDCD1,TCGA-XF-AAN2-01A,Bladder Urothelial Carcinoma (TCGA),1.306
PDCD1,TCGA-XF-AAN4-01A,Bladder Urothelial Carcinoma (TCGA),0.0
PDCD1,TCGA-XF-AAN7-01A,Bladder Urothelial Carcinoma (TCGA),0.2589
PDCD1,TCGA-XF-AAN8-01A,Bladder Urothelial Carcinoma (TCGA),1.6117
PDCD1,TCGA-YC-A9TC-01A,Bladder Urothelial Carcinoma (TCGA),0.0
PDCD1,TCGA-ZF-A9R0-01A,Bladder Urothelial Carcinoma (TCGA),0.3955
PDCD1,TCGA-ZF-A9R3-01A,Bladder Urothelial Carcinoma (TCGA),0.5169
PDCD1,TCGA-ZF-A9R9-01A,Bladder Urothelial Carcinoma (TCGA),3.9149
PDCD1,TCGA-ZF-A9RD-01A,Bladder Urothelial Carcinoma (TCGA),2.2404
PDCD1,TCGA-ZF-A9RE-01A,Bladder Urothelial Carcinoma (TCGA),0.0
PDCD1,TCGA-ZF-A9RN-01A,Bladder Urothelial Carcinoma (TCGA),3.0232
PDCD1,TCGA-ZF-AA4N-01A,Bladder Urothelial Carcinoma (TCGA),1.421
PDCD1,TCGA-ZF-AA4R-01A,Bladder Urothelial Carcinoma (TCGA),0.0
PDCD1,TCGA-ZF-AA4T-01A,Bladder Urothelial Carcinoma (TCGA),0.0
PDCD1,TCGA-ZF-AA4U-01A,Bladder Urothelial Carcinoma (TCGA),0.556
PDCD1,TCGA-ZF-AA52-01A,Bladder Urothelial Carcinoma (TCGA),3.7197
PDCD1,TCGA-ZF-AA54-01A,Bladder Urothelial Carcinoma (TCGA),1.5632
PDCD1,TCGA-ZF-AA56-01A,Bladder Urothelial Carcinoma (TCGA),1.3512
PDCD1,TCGA-ZF-AA5N-01A,Bladder Urothelial Carcinoma (TCGA),0.1386
PDCD1,TCGA-3C-AAAU-01A,Breast Invasive Carcinoma (TCGA),0.2756
PDCD1,TCGA-3C-AALI-01A,Breast Invasive Carcinoma (TCGA),3.2702
PDCD1,TCGA-3C-AALJ-01A,Breast Invasive Carcinoma (TCGA),2.2919
PDCD1,TCGA-3C-AALK-01A,Breast Invasive Carcinoma (TCGA),0.82
PDCD1,TCGA-4H-AAAK-01A,Breast Invasive Carcinoma (TCGA),0.7461
PDCD1,TCGA-5L-AAT0-01A,Breast Invasive Carcinoma (TCGA),2.3333
PDCD1,TCGA-5L-AAT1-01A,Breast Invasive Carcinoma (TCGA),5.3198
PDCD1,TCGA-5T-A9QA-01A,Breast Invasive Carcinoma (TCGA),0.119
PDCD1,TCGA-A1-A0SB-01A,Breast Invasive Carcinoma (TCGA),0.081
PDCD1,TCGA-A1-A0SD-01A,Breast Invasive Carcinoma (TCGA),0.0
PDCD1,TCGA-A1-A0SE-01A,Breast Invasive Carcinoma (TCGA),0.4661
PDCD1,TCGA-A1-A0SF-01A,Breast Invasive Carcinoma (TCGA),3.0009
PDCD1,TCGA-A1-A0SG-01A,Breast Invasive Carcinoma (TCGA),0.6629
PDCD1,TCGA-A1-A0SH-01A,Breast Invasive Carcinoma (TCGA),0.3542
PDCD1,TCGA-A1-A0SI-01A,Breast Invasive Carcinoma (TCGA),2.7659
PDCD1,TCGA-A1-A0SJ-01A,Breast Invasive Carcinoma (TCGA),0.8743
PDCD1,TCGA-A1-A0SK-01A,Breast Invasive Carcinoma (TCGA),0.5328
PDCD1,TCGA-A1-A0SM-01A,Breast Invasive Carcinoma (TCGA),0.3566
PDCD1,TCGA-A1-A0SN-01A,Breast Invasive Carcinoma (TCGA),1.2556
PDCD1,TCGA-A1-A0SO-01A,Breast Invasive Carcinoma (TCGA),0.2491
PDCD1,TCGA-A1-A0SP-01A,Breast Invasive Carcinoma (TCGA),0.9279
PDCD1,TCGA-A1-A0SQ-01A,Breast Invasive Carcinoma (TCGA),0.4802
PDCD1,TCGA-A2-A04N-01A,Breast Invasive Carcinoma (TCGA),0.3468
PDCD1,TCGA-A2-A04P-01A,Breast Invasive Carcinoma (TCGA),1.0521
PDCD1,TCGA-A2-A04Q-01A,Breast Invasive Carcinoma (TCGA),6.4112
PDCD1,TCGA-A2-A04R-01A,Breast Invasive Carcinoma (TCGA),0.0702
PDCD1,TCGA-A2-A04T-01A,Breast Invasive Carcinoma (TCGA),1.96
PDCD1,TCGA-A2-A04U-01A,Breast Invasive Carcinoma (TCGA),0.1653
PDCD1,TCGA-A2-A04V-01A,Breast Invasive Carcinoma (TCGA),0.1626
PDCD1,TCGA-A2-A04W-01A,Breast Invasive Carcinoma (TCGA),0.0
PDCD1,TCGA-A2-A04X-01A,Breast Invasive Carcinoma (TCGA),2.9068
PDCD1,TCGA-A2-A04Y-01A,Breast Invasive Carcinoma (TCGA),0.0312
PDCD1,TCGA-A2-A0CK-01A,Breast Invasive Carcinoma (TCGA),0.0033
PDCD1,TCGA-A2-A0CL-01A,Breast Invasive Carcinoma (TCGA),5.5584
PDCD1,TCGA-A2-A0CM-01A,Breast Invasive Carcinoma (TCGA),1.4883
PDCD1,TCGA-A2-A0CO-01A,Breast Invasive Carcinoma (TCGA),4.9424
PDCD1,TCGA-A2-A0CP-01A,Breast Invasive Carcinoma (TCGA),0.4159
PDCD1,TCGA-A2-A0CQ-01A,Breast Invasive Carcinoma (TCGA),0.3948
PDCD1,TCGA-A2-A0CR-01A,Breast Invasive Carcinoma (TCGA),5.7894
PDCD1,TCGA-A2-A0CS-01A,Breast Invasive Carcinoma (TCGA),0.1593
PDCD1,TCGA-A2-A0CT-01A,Breast Invasive Carcinoma (TCGA),0.8657
PDCD1,TCGA-A2-A0CU-01A,Breast Invasive Carcinoma (TCGA),0.2715
PDCD1,TCGA-A2-A0CV-01A,Breast Invasive Carcinoma (TCGA),0.2025
PDCD1,TCGA-A2-A0CW-01A,Breast Invasive Carcinoma (TCGA),1.2772
PDCD1,TCGA-A2-A0CX-01A,Breast Invasive Carcinoma (TCGA),1.0273
PDCD1,TCGA-A2-A0CY-01A,Breast Invasive Carcinoma (TCGA),0.1071
PDCD1,TCGA-A2-A0D0-01A,Breast Invasive Carcinoma (TCGA),2.3853
PDCD1,TCGA-A2-A0D1-01A,Breast Invasive Carcinoma (TCGA),0.2298
PDCD1,TCGA-A2-A0D2-01A,Breast Invasive Carcinoma (TCGA),2.183
PDCD1,TCGA-A2-A0D3-01A,Breast Invasive Carcinoma (TCGA),1.8157
PDCD1,TCGA-A2-A0D4-01A,Breast Invasive Carcinoma (TCGA),0.0884
PDCD1,TCGA-A2-A0EM-01A,Breast Invasive Carcinoma (TCGA),0.1611
PDCD1,TCGA-A2-A0EN-01A,Breast Invasive Carcinoma (TCGA),2.4456
PDCD1,TCGA-A2-A0EO-01A,Breast Invasive Carcinoma (TCGA),0.3924
PDCD1,TCGA-A2-A0EP-01A,Breast Invasive Carcinoma (TCGA),7.0686
PDCD1,TCGA-A2-A0EQ-01A,Breast Invasive Carcinoma (TCGA),3.8935
PDCD1,TCGA-A2-A0ER-01A,Breast Invasive Carcinoma (TCGA),0.2568
PDCD1,TCGA-A2-A0ES-01A,Breast Invasive Carcinoma (TCGA),0.9443
PDCD1,TCGA-A2-A0ET-01A,Breast Invasive Carcinoma (TCGA),0.5972
PDCD1,TCGA-A2-A0EU-01A,Breast Invasive Carcinoma (TCGA),0.0554
PDCD1,TCGA-A2-A0EV-01A,Breast Invasive Carcinoma (TCGA),0.671
PDCD1,TCGA-A2-A0EW-01A,Breast Invasive Carcinoma (TCGA),1.0352
PDCD1,TCGA-A2-A0EY-01A,Breast Invasive Carcinoma (TCGA),1.1391
PDCD1,TCGA-A2-A0ST-01A,Breast Invasive Carcinoma (TCGA),7.4723
PDCD1,TCGA-A2-A0SU-01A,Breast Invasive Carcinoma (TCGA),0.4524
PDCD1,TCGA-A2-A0SV-01A,Breast Invasive Carcinoma (TCGA),0.5963
PDCD1,TCGA-A2-A0SW-01A,Breast Invasive Carcinoma (TCGA),2.786
PDCD1,TCGA-A2-A0SX-01A,Breast Invasive Carcinoma (TCGA),1.9201
PDCD1,TCGA-A2-A0SY-01A,Breast Invasive Carcinoma (TCGA),1.2515
PDCD1,TCGA-A2-A0T0-01A,Breast Invasive Carcinoma (TCGA),0.9176
PDCD1,TCGA-A2-A0T1-01A,Breast Invasive Carcinoma (TCGA),3.5024
PDCD1,TCGA-A2-A0T2-01A,Breast Invasive Carcinoma (TCGA),0.5948
PDCD1,TCGA-A2-A0T3-01A,Breast Invasive Carcinoma (TCGA),0.4352
PDCD1,TCGA-A2-A0T4-01A,Breast Invasive Carcinoma (TCGA),1.2511
PDCD1,TCGA-A2-A0T5-01A,Breast Invasive Carcinoma (TCGA),0.1987
PDCD1,TCGA-A2-A0T6-01A,Breast Invasive Carcinoma (TCGA),1.7567
PDCD1,TCGA-A2-A0T7-01A,Breast Invasive Carcinoma (TCGA),0.8438
PDCD1,TCGA-A2-A0YC-01A,Breast Invasive Carcinoma (TCGA),0.626
PDCD1,TCGA-A2-A0YD-01A,Breast Invasive Carcinoma (TCGA),1.4356
PDCD1,TCGA-A2-A0YE-01A,Breast Invasive Carcinoma (TCGA),1.0355
PDCD1,TCGA-A2-A0YF-01A,Breast Invasive Carcinoma (TCGA),0.1173
PDCD1,TCGA-A2-A0YG-01A,Breast Invasive Carcinoma (TCGA),0.3472
PDCD1,TCGA-A2-A0YH-01A,Breast Invasive Carcinoma (TCGA),2.1448
PDCD1,TCGA-A2-A0YI-01A,Breast Invasive Carcinoma (TCGA),0.1316
PDCD1,TCGA-A2-A0YJ-01A,Breast Invasive Carcinoma (TCGA),0.155
PDCD1,TCGA-A2-A0YK-01A,Breast Invasive Carcinoma (TCGA),3.8202
PDCD1,TCGA-A2-A0YL-01A,Breast Invasive Carcinoma (TCGA),1.1669
PDCD1,TCGA-A2-A0YM-01A,Breast Invasive Carcinoma (TCGA),1.2624
PDCD1,TCGA-A2-A0YT-01A,Breast Invasive Carcinoma (TCGA),0.262
PDCD1,TCGA-A2-A1FV-01A,Breast Invasive Carcinoma (TCGA),0.073
PDCD1,TCGA-A2-A1FW-01A,Breast Invasive Carcinoma (TCGA),0.4844
PDCD1,TCGA-A2-A1FX-01A,Breast Invasive Carcinoma (TCGA),0.7583
PDCD1,TCGA-A2-A1FZ-01A,Breast Invasive Carcinoma (TCGA),0.7762
PDCD1,TCGA-A2-A1G0-01A,Breast Invasive Carcinoma (TCGA),1.4347
PDCD1,TCGA-A2-A1G1-01A,Breast Invasive Carcinoma (TCGA),0.8312
PDCD1,TCGA-A2-A1G4-01A,Breast Invasive Carcinoma (TCGA),0.5807
PDCD1,TCGA-A2-A1G6-01A,Breast Invasive Carcinoma (TCGA),0.4754
PDCD1,TCGA-A2-A259-01A,Breast Invasive Carcinoma (TCGA),0.966
PDCD1,TCGA-A2-A25A-01A,Breast Invasive Carcinoma (TCGA),0.9249
PDCD1,TCGA-A2-A25B-01A,Breast Invasive Carcinoma (TCGA),0.5842
PDCD1,TCGA-A2-A25C-01A,Breast Invasive Carcinoma (TCGA),0.1538
PDCD1,TCGA-A2-A25E-01A,Breast Invasive Carcinoma (TCGA),0.5611
PDCD1,TCGA-A2-A25F-01A,Breast Invasive Carcinoma (TCGA),3.695
PDCD1,TCGA-A2-A3KC-01A,Breast Invasive Carcinoma (TCGA),1.7084
PDCD1,TCGA-A2-A3KD-01A,Breast Invasive Carcinoma (TCGA),0.298
PDCD1,TCGA-A2-A3XS-01A,Breast Invasive Carcinoma (TCGA),1.8441
PDCD1,TCGA-A2-A3XT-01A,Breast Invasive Carcinoma (TCGA),1.0432
PDCD1,TCGA-A2-A3XU-01A,Breast Invasive Carcinoma (TCGA),0.1326
PDCD1,TCGA-A2-A3XV-01A,Breast Invasive Carcinoma (TCGA),0.3112
PDCD1,TCGA-A2-A3XW-01A,Breast Invasive Carcinoma (TCGA),2.3096
PDCD1,TCGA-A2-A3XX-01A,Breast Invasive Carcinoma (TCGA),0.7414
PDCD1,TCGA-A2-A3XZ-01A,Breast Invasive Carcinoma (TCGA),5.9555
PDCD1,TCGA-A2-A3Y0-01A,Breast Invasive Carcinoma (TCGA),5.0848
PDCD1,TCGA-A2-A4RW-01A,Breast Invasive Carcinoma (TCGA),1.9372
PDCD1,TCGA-A2-A4RX-01A,Breast Invasive Carcinoma (TCGA),1.9965
PDCD1,TCGA-A2-A4RY-01A,Breast Invasive Carcinoma (TCGA),1.3912
PDCD1,TCGA-A2-A4S0-01A,Breast Invasive Carcinoma (TCGA),0.1112
PDCD1,TCGA-A2-A4S1-01A,Breast Invasive Carcinoma (TCGA),0.6736
PDCD1,TCGA-A2-A4S2-01A,Breast Invasive Carcinoma (TCGA),2.134
PDCD1,TCGA-A2-A4S3-01A,Breast Invasive Carcinoma (TCGA),4.7231
PDCD1,TCGA-A7-A0CD-01A,Breast Invasive Carcinoma (TCGA),0.1013
PDCD1,TCGA-A7-A0CE-01A,Breast Invasive Carcinoma (TCGA),0.3714
PDCD1,TCGA-A7-A0CG-01A,Breast Invasive Carcinoma (TCGA),0.8931
PDCD1,TCGA-A7-A0CH-01A,Breast Invasive Carcinoma (TCGA),0.0892
PDCD1,TCGA-A7-A0CJ-01A,Breast Invasive Carcinoma (TCGA),0.4524
PDCD1,TCGA-A7-A0D9-01A,Breast Invasive Carcinoma (TCGA),0.2349
PDCD1,TCGA-A7-A0DA-01A,Breast Invasive Carcinoma (TCGA),0.0618
PDCD1,TCGA-A7-A0DC-01A,Breast Invasive Carcinoma (TCGA),0.0679
PDCD1,TCGA-A7-A13D-01A,Breast Invasive Carcinoma (TCGA),0.1129
