Gene	Gene name	Immune cell	TPM	pTPM	nTPM
ENSG00000000003	TSPAN6	basophil	0.1	0.2	0.2
ENSG00000000003	TSPAN6	classical monocyte	0.0	0.0	0.0
ENSG00000000003	TSPAN6	eosinophil	0.0	0.0	0.0
ENSG00000000003	TSPAN6	gdT-cell	0.3	0.4	0.3
ENSG00000000003	TSPAN6	intermediate monocyte	0.0	0.0	0.0
ENSG00000000003	TSPAN6	MAIT T-cell	1.0	1.2	1.1
ENSG00000000003	TSPAN6	memory B-cell	0.0	0.1	0.1
ENSG00000000003	TSPAN6	memory CD4 T-cell	0.7	0.9	0.8
ENSG00000000003	TSPAN6	memory CD8 T-cell	0.3	0.4	0.3
ENSG00000000003	TSPAN6	myeloid DC	0.0	0.0	0.0
ENSG00000000003	TSPAN6	naive B-cell	0.0	0.1	0.1
ENSG00000000003	TSPAN6	naive CD4 T-cell	1.9	2.3	2.1
ENSG00000000003	TSPAN6	naive CD8 T-cell	1.1	1.3	1.2
ENSG00000000003	TSPAN6	neutrophil	0.1	0.2	0.2
ENSG00000000003	TSPAN6	NK-cell	0.1	0.2	0.1
ENSG00000000003	TSPAN6	non-classical monocyte	0.0	0.0	0.0
ENSG00000000003	TSPAN6	plasmacytoid DC	0.1	0.1	0.1
ENSG00000000003	TSPAN6	T-reg	0.0	0.0	0.0
ENSG00000000003	TSPAN6	total PBMC	0.2	0.2	0.3
ENSG00000000005	TNMD	basophil	0.0	0.0	0.0
ENSG00000000005	TNMD	classical monocyte	0.0	0.0	0.0
ENSG00000000005	TNMD	eosinophil	0.0	0.0	0.0
ENSG00000000005	TNMD	gdT-cell	0.0	0.0	0.0
ENSG00000000005	TNMD	intermediate monocyte	0.0	0.0	0.0
ENSG00000000005	TNMD	MAIT T-cell	0.0	0.0	0.0
ENSG00000000005	TNMD	memory B-cell	0.0	0.0	0.0
ENSG00000000005	TNMD	memory CD4 T-cell	0.0	0.0	0.0
ENSG00000000005	TNMD	memory CD8 T-cell	0.0	0.0	0.0
ENSG00000000005	TNMD	myeloid DC	0.0	0.0	0.0
ENSG00000000005	TNMD	naive B-cell	0.0	0.0	0.0
ENSG00000000005	TNMD	naive CD4 T-cell	0.0	0.0	0.0
ENSG00000000005	TNMD	naive CD8 T-cell	0.0	0.0	0.0
ENSG00000000005	TNMD	neutrophil	0.0	0.0	0.0
ENSG00000000005	TNMD	NK-cell	0.0	0.0	0.0
ENSG00000000005	TNMD	non-classical monocyte	0.0	0.0	0.0
ENSG00000000005	TNMD	plasmacytoid DC	0.0	0.0	0.0
ENSG00000000005	TNMD	T-reg	0.0	0.0	0.0
ENSG00000000005	TNMD	total PBMC	0.0	0.0	0.0
ENSG00000000419	DPM1	basophil	10.6	13.1	14.2
ENSG00000000419	DPM1	classical monocyte	12.7	15.3	16.4
ENSG00000000419	DPM1	eosinophil	14.9	18.6	18.5
ENSG00000000419	DPM1	gdT-cell	17.7	21.7	16.4
ENSG00000000419	DPM1	intermediate monocyte	15.5	18.7	19.2
ENSG00000000419	DPM1	MAIT T-cell	19.6	23.8	20.0
ENSG00000000419	DPM1	memory B-cell	13.1	16.1	18.5
ENSG00000000419	DPM1	memory CD4 T-cell	17.7	21.6	19.0
ENSG00000000419	DPM1	memory CD8 T-cell	17.8	21.8	17.8
ENSG00000000419	DPM1	myeloid DC	18.1	22.1	21.3
ENSG00000000419	DPM1	naive B-cell	12.5	15.6	16.0
ENSG00000000419	DPM1	naive CD4 T-cell	18.1	22.1	20.3
ENSG00000000419	DPM1	naive CD8 T-cell	21.0	25.7	22.7
ENSG00000000419	DPM1	neutrophil	12.2	16.2	18.9
ENSG00000000419	DPM1	NK-cell	21.0	26.0	18.7
ENSG00000000419	DPM1	non-classical monocyte	16.0	19.2	19.2
ENSG00000000419	DPM1	plasmacytoid DC	19.9	24.6	21.8
ENSG00000000419	DPM1	T-reg	17.8	22.0	20.5
ENSG00000000419	DPM1	total PBMC	6.9	8.1	16.1
ENSG00000000457	SCYL3	basophil	9.5	11.8	13.6
ENSG00000000457	SCYL3	classical monocyte	2.5	3.0	3.2
ENSG00000000457	SCYL3	eosinophil	7.0	8.7	8.6
ENSG00000000457	SCYL3	gdT-cell	6.8	8.4	6.3
ENSG00000000457	SCYL3	intermediate monocyte	2.7	3.3	3.4
ENSG00000000457	SCYL3	MAIT T-cell	8.1	9.9	8.5
ENSG00000000457	SCYL3	memory B-cell	4.6	5.6	6.7
ENSG00000000457	SCYL3	memory CD4 T-cell	7.6	9.3	8.3
ENSG00000000457	SCYL3	memory CD8 T-cell	6.9	8.5	7.0
ENSG00000000457	SCYL3	myeloid DC	4.3	5.3	5.1
ENSG00000000457	SCYL3	naive B-cell	4.5	5.6	6.3
ENSG00000000457	SCYL3	naive CD4 T-cell	6.3	7.7	7.0
ENSG00000000457	SCYL3	naive CD8 T-cell	5.5	6.8	5.8
ENSG00000000457	SCYL3	neutrophil	4.4	5.9	6.8
ENSG00000000457	SCYL3	NK-cell	11.1	13.7	10.6
ENSG00000000457	SCYL3	non-classical monocyte	3.1	3.8	3.8
ENSG00000000457	SCYL3	plasmacytoid DC	10.5	13.1	11.5
ENSG00000000457	SCYL3	T-reg	7.1	8.7	8.1
ENSG00000000457	SCYL3	total PBMC	2.3	2.7	4.8
ENSG00000000460	C1orf112	basophil	2.0	2.5	2.2
ENSG00000000460	C1orf112	classical monocyte	0.6	0.8	0.9
ENSG00000000460	C1orf112	eosinophil	0.8	1.0	1.0
ENSG00000000460	C1orf112	gdT-cell	0.7	0.8	0.6
ENSG00000000460	C1orf112	intermediate monocyte	1.7	2.0	2.0
ENSG00000000460	C1orf112	MAIT T-cell	0.4	0.5	0.4
ENSG00000000460	C1orf112	memory B-cell	0.8	1.0	1.4
ENSG00000000460	C1orf112	memory CD4 T-cell	0.6	0.8	0.7
ENSG00000000460	C1orf112	memory CD8 T-cell	0.7	0.8	0.7
ENSG00000000460	C1orf112	myeloid DC	1.0	1.2	1.2
ENSG00000000460	C1orf112	naive B-cell	0.9	1.1	1.4
ENSG00000000460	C1orf112	naive CD4 T-cell	0.2	0.3	0.3
ENSG00000000460	C1orf112	naive CD8 T-cell	0.5	0.7	0.5
ENSG00000000460	C1orf112	neutrophil	0.1	0.1	0.1
ENSG00000000460	C1orf112	NK-cell	2.5	3.2	2.2
ENSG00000000460	C1orf112	non-classical monocyte	2.0	2.4	2.4
ENSG00000000460	C1orf112	plasmacytoid DC	0.3	0.4	0.4
ENSG00000000460	C1orf112	T-reg	0.7	0.8	0.7
ENSG00000000460	C1orf112	total PBMC	0.3	0.4	0.6
ENSG00000000938	FGR	basophil	19.3	24.0	30.7
ENSG00000000938	FGR	classical monocyte	284.5	341.0	381.5
ENSG00000000938	FGR	eosinophil	186.4	231.4	229.9
ENSG00000000938	FGR	gdT-cell	201.4	247.0	189.9
ENSG00000000938	FGR	intermediate monocyte	379.2	457.7	469.3
ENSG00000000938	FGR	MAIT T-cell	10.9	13.2	11.3
ENSG00000000938	FGR	memory B-cell	34.6	42.3	54.2
ENSG00000000938	FGR	memory CD4 T-cell	15.4	18.8	15.8
ENSG00000000938	FGR	memory CD8 T-cell	87.0	106.9	89.1
ENSG00000000938	FGR	myeloid DC	166.9	203.7	196.3
ENSG00000000938	FGR	naive B-cell	66.0	82.2	84.2
ENSG00000000938	FGR	naive CD4 T-cell	7.6	9.3	8.0
ENSG00000000938	FGR	naive CD8 T-cell	76.3	93.2	78.6
ENSG00000000938	FGR	neutrophil	175.8	233.1	273.7
ENSG00000000938	FGR	NK-cell	274.5	339.1	265.3
ENSG00000000938	FGR	non-classical monocyte	330.0	396.7	406.9
ENSG00000000938	FGR	plasmacytoid DC	8.3	10.2	9.0
ENSG00000000938	FGR	T-reg	1.1	1.4	1.3
ENSG00000000938	FGR	total PBMC	176.1	207.5	493.6
ENSG00000000971	CFH	basophil	0.0	0.0	0.0
ENSG00000000971	CFH	classical monocyte	0.1	0.1	0.1
ENSG00000000971	CFH	eosinophil	0.0	0.0	0.0
ENSG00000000971	CFH	gdT-cell	1.9	2.3	1.7
ENSG00000000971	CFH	intermediate monocyte	0.0	0.0	0.0
ENSG00000000971	CFH	MAIT T-cell	17.2	20.9	17.6
ENSG00000000971	CFH	memory B-cell	0.0	0.0	0.0
ENSG00000000971	CFH	memory CD4 T-cell	5.9	7.2	6.2
ENSG00000000971	CFH	memory CD8 T-cell	3.5	4.3	3.6
ENSG00000000971	CFH	myeloid DC	0.1	0.1	0.1
ENSG00000000971	CFH	naive B-cell	0.0	0.0	0.0
ENSG00000000971	CFH	naive CD4 T-cell	0.2	0.3	0.2
ENSG00000000971	CFH	naive CD8 T-cell	1.5	1.8	1.5
ENSG00000000971	CFH	neutrophil	0.1	0.2	0.3
ENSG00000000971	CFH	NK-cell	0.0	0.0	0.0
ENSG00000000971	CFH	non-classical monocyte	0.0	0.0	0.0
ENSG00000000971	CFH	plasmacytoid DC	0.0	0.0	0.0
ENSG00000000971	CFH	T-reg	0.0	0.0	0.0
ENSG00000000971	CFH	total PBMC	0.5	0.6	1.1
ENSG00000001036	FUCA2	basophil	23.7	29.5	38.8
ENSG00000001036	FUCA2	classical monocyte	66.9	80.4	84.9
ENSG00000001036	FUCA2	eosinophil	21.3	26.4	26.2
ENSG00000001036	FUCA2	gdT-cell	14.0	17.2	13.2
ENSG00000001036	FUCA2	intermediate monocyte	67.8	81.7	83.9
ENSG00000001036	FUCA2	MAIT T-cell	14.6	17.8	15.0
ENSG00000001036	FUCA2	memory B-cell	7.8	9.6	11.3
ENSG00000001036	FUCA2	memory CD4 T-cell	9.0	11.0	9.7
ENSG00000001036	FUCA2	memory CD8 T-cell	11.0	13.6	11.2
ENSG00000001036	FUCA2	myeloid DC	55.5	67.7	65.4
ENSG00000001036	FUCA2	naive B-cell	5.4	6.8	8.3
ENSG00000001036	FUCA2	naive CD4 T-cell	3.9	4.8	4.4
ENSG00000001036	FUCA2	naive CD8 T-cell	7.6	9.3	7.9
ENSG00000001036	FUCA2	neutrophil	3.6	4.8	5.5
ENSG00000001036	FUCA2	NK-cell	30.8	38.0	29.7
ENSG00000001036	FUCA2	non-classical monocyte	50.2	60.3	62.2
ENSG00000001036	FUCA2	plasmacytoid DC	9.3	11.5	10.2
ENSG00000001036	FUCA2	T-reg	16.9	20.9	19.8
ENSG00000001036	FUCA2	total PBMC	20.3	24.0	51.8
ENSG00000001084	GCLC	basophil	1.1	1.4	1.2
ENSG00000001084	GCLC	classical monocyte	0.4	0.5	0.5
ENSG00000001084	GCLC	eosinophil	0.3	0.3	0.3
ENSG00000001084	GCLC	gdT-cell	0.6	0.8	0.5
ENSG00000001084	GCLC	intermediate monocyte	0.8	1.0	0.9
ENSG00000001084	GCLC	MAIT T-cell	0.4	0.5	0.4
ENSG00000001084	GCLC	memory B-cell	0.5	0.6	0.8
ENSG00000001084	GCLC	memory CD4 T-cell	0.4	0.5	0.5
ENSG00000001084	GCLC	memory CD8 T-cell	1.1	1.4	1.1
ENSG00000001084	GCLC	myeloid DC	1.9	2.3	2.3
ENSG00000001084	GCLC	naive B-cell	0.4	0.5	0.5
ENSG00000001084	GCLC	naive CD4 T-cell	0.2	0.3	0.2
ENSG00000001084	GCLC	naive CD8 T-cell	0.6	0.7	0.6
ENSG00000001084	GCLC	neutrophil	0.1	0.1	0.2
ENSG00000001084	GCLC	NK-cell	4.7	6.0	4.2
ENSG00000001084	GCLC	non-classical monocyte	0.8	1.0	1.0
ENSG00000001084	GCLC	plasmacytoid DC	1.4	1.8	1.6
ENSG00000001084	GCLC	T-reg	0.7	0.9	0.9
ENSG00000001084	GCLC	total PBMC	0.1	0.1	0.3
ENSG00000001167	NFYA	basophil	2.4	2.9	2.6
ENSG00000001167	NFYA	classical monocyte	2.2	2.7	2.8
ENSG00000001167	NFYA	eosinophil	3.7	4.6	4.6
ENSG00000001167	NFYA	gdT-cell	6.0	7.4	5.6
ENSG00000001167	NFYA	intermediate monocyte	2.8	3.4	3.8
ENSG00000001167	NFYA	MAIT T-cell	7.0	8.6	7.2
ENSG00000001167	NFYA	memory B-cell	2.4	2.9	3.5
ENSG00000001167	NFYA	memory CD4 T-cell	4.8	5.8	5.2
ENSG00000001167	NFYA	memory CD8 T-cell	5.9	7.2	5.9
ENSG00000001167	NFYA	myeloid DC	2.7	3.3	3.2
ENSG00000001167	NFYA	naive B-cell	3.1	3.9	3.9
ENSG00000001167	NFYA	naive CD4 T-cell	4.8	5.9	5.5
ENSG00000001167	NFYA	naive CD8 T-cell	5.6	6.9	6.0
ENSG00000001167	NFYA	neutrophil	4.7	6.2	7.5
ENSG00000001167	NFYA	NK-cell	6.9	8.5	6.4
ENSG00000001167	NFYA	non-classical monocyte	2.8	3.3	3.4
ENSG00000001167	NFYA	plasmacytoid DC	3.5	4.4	3.8
ENSG00000001167	NFYA	T-reg	5.4	6.7	6.4
ENSG00000001167	NFYA	total PBMC	1.3	1.6	3.0
ENSG00000001460	STPG1	basophil	0.0	0.0	0.0
ENSG00000001460	STPG1	classical monocyte	0.0	0.1	0.1
ENSG00000001460	STPG1	eosinophil	0.4	0.6	0.6
ENSG00000001460	STPG1	gdT-cell	0.8	1.0	0.8
ENSG00000001460	STPG1	intermediate monocyte	0.6	0.7	0.7
ENSG00000001460	STPG1	MAIT T-cell	0.1	0.1	0.1
ENSG00000001460	STPG1	memory B-cell	1.6	2.0	2.3
ENSG00000001460	STPG1	memory CD4 T-cell	0.5	0.7	0.6
ENSG00000001460	STPG1	memory CD8 T-cell	1.9	2.4	2.0
ENSG00000001460	STPG1	myeloid DC	0.3	0.4	0.3
ENSG00000001460	STPG1	naive B-cell	1.2	1.5	1.9
ENSG00000001460	STPG1	naive CD4 T-cell	0.5	0.7	0.6
ENSG00000001460	STPG1	naive CD8 T-cell	0.8	1.0	0.8
ENSG00000001460	STPG1	neutrophil	0.0	0.0	0.1
ENSG00000001460	STPG1	NK-cell	0.0	0.0	0.0
ENSG00000001460	STPG1	non-classical monocyte	0.1	0.1	0.1
ENSG00000001460	STPG1	plasmacytoid DC	1.2	1.5	1.3
ENSG00000001460	STPG1	T-reg	1.0	1.2	1.2
ENSG00000001460	STPG1	total PBMC	0.4	0.5	0.8
ENSG00000001461	NIPAL3	basophil	13.8	17.2	16.9
ENSG00000001461	NIPAL3	classical monocyte	4.8	5.8	5.9
ENSG00000001461	NIPAL3	eosinophil	6.4	8.0	7.9
ENSG00000001461	NIPAL3	gdT-cell	17.8	21.9	16.8
ENSG00000001461	NIPAL3	intermediate monocyte	4.7	5.7	5.7
ENSG00000001461	NIPAL3	MAIT T-cell	16.3	20.0	16.9
ENSG00000001461	NIPAL3	memory B-cell	14.2	17.4	22.2
ENSG00000001461	NIPAL3	memory CD4 T-cell	26.5	32.3	28.9
ENSG00000001461	NIPAL3	memory CD8 T-cell	22.2	27.2	22.5
ENSG00000001461	NIPAL3	myeloid DC	9.5	11.6	11.2
ENSG00000001461	NIPAL3	naive B-cell	13.2	16.3	20.2
ENSG00000001461	NIPAL3	naive CD4 T-cell	34.3	41.9	39.0
ENSG00000001461	NIPAL3	naive CD8 T-cell	23.4	28.6	24.8
ENSG00000001461	NIPAL3	neutrophil	1.6	2.1	2.5
ENSG00000001461	NIPAL3	NK-cell	16.2	20.0	15.7
ENSG00000001461	NIPAL3	non-classical monocyte	3.4	4.1	4.2
ENSG00000001461	NIPAL3	plasmacytoid DC	13.2	16.3	14.6
ENSG00000001461	NIPAL3	T-reg	26.7	33.1	31.9
ENSG00000001461	NIPAL3	total PBMC	7.5	8.8	16.0
ENSG00000001497	LAS1L	basophil	11.9	14.7	17.7
ENSG00000001497	LAS1L	classical monocyte	14.2	17.1	17.7
ENSG00000001497	LAS1L	eosinophil	9.2	11.4	11.2
ENSG00000001497	LAS1L	gdT-cell	21.2	26.0	20.1
ENSG00000001497	LAS1L	intermediate monocyte	19.1	23.1	24.0
ENSG00000001497	LAS1L	MAIT T-cell	20.5	25.1	21.3
ENSG00000001497	LAS1L	memory B-cell	15.6	19.1	23.9
ENSG00000001497	LAS1L	memory CD4 T-cell	17.2	21.0	18.6
ENSG00000001497	LAS1L	memory CD8 T-cell	22.8	28.1	23.4
ENSG00000001497	LAS1L	myeloid DC	20.4	24.9	24.2
ENSG00000001497	LAS1L	naive B-cell	17.6	21.8	26.4
ENSG00000001497	LAS1L	naive CD4 T-cell	20.5	25.1	23.2
ENSG00000001497	LAS1L	naive CD8 T-cell	18.8	22.9	19.8
ENSG00000001497	LAS1L	neutrophil	1.2	1.6	1.9
ENSG00000001497	LAS1L	NK-cell	22.7	27.9	22.9
ENSG00000001497	LAS1L	non-classical monocyte	15.6	18.7	19.4
ENSG00000001497	LAS1L	plasmacytoid DC	17.2	21.3	19.1
ENSG00000001497	LAS1L	T-reg	18.2	22.6	21.8
ENSG00000001497	LAS1L	total PBMC	9.3	11.0	21.0
ENSG00000001561	ENPP4	basophil	0.0	0.0	0.0
ENSG00000001561	ENPP4	classical monocyte	0.3	0.4	0.4
ENSG00000001561	ENPP4	eosinophil	0.7	0.8	0.9
ENSG00000001561	ENPP4	gdT-cell	10.0	12.3	9.2
ENSG00000001561	ENPP4	intermediate monocyte	1.0	1.2	1.1
ENSG00000001561	ENPP4	MAIT T-cell	5.3	6.5	5.4
ENSG00000001561	ENPP4	memory B-cell	1.8	2.3	2.8
ENSG00000001561	ENPP4	memory CD4 T-cell	3.2	4.0	3.4
ENSG00000001561	ENPP4	memory CD8 T-cell	6.7	8.2	6.8
ENSG00000001561	ENPP4	myeloid DC	1.3	1.6	1.5
ENSG00000001561	ENPP4	naive B-cell	1.0	1.3	1.2
ENSG00000001561	ENPP4	naive CD4 T-cell	2.9	3.5	3.2
ENSG00000001561	ENPP4	naive CD8 T-cell	5.6	6.8	5.8
ENSG00000001561	ENPP4	neutrophil	0.2	0.2	0.3
ENSG00000001561	ENPP4	NK-cell	4.6	5.7	4.4
ENSG00000001561	ENPP4	non-classical monocyte	2.2	2.6	2.6
ENSG00000001561	ENPP4	plasmacytoid DC	1.5	1.9	1.6
ENSG00000001561	ENPP4	T-reg	1.1	1.4	1.2
ENSG00000001561	ENPP4	total PBMC	1.3	1.5	2.9
ENSG00000001617	SEMA3F	basophil	0.0	0.0	0.0
ENSG00000001617	SEMA3F	classical monocyte	0.0	0.0	0.0
ENSG00000001617	SEMA3F	eosinophil	0.0	0.0	0.0
ENSG00000001617	SEMA3F	gdT-cell	0.0	0.0	0.0
ENSG00000001617	SEMA3F	intermediate monocyte	0.0	0.0	0.0
ENSG00000001617	SEMA3F	MAIT T-cell	0.0	0.0	0.0
ENSG00000001617	SEMA3F	memory B-cell	0.0	0.0	0.0
ENSG00000001617	SEMA3F	memory CD4 T-cell	0.0	0.0	0.0
ENSG00000001617	SEMA3F	memory CD8 T-cell	0.0	0.0	0.0
ENSG00000001617	SEMA3F	myeloid DC	0.0	0.0	0.0
ENSG00000001617	SEMA3F	naive B-cell	0.0	0.0	0.0
ENSG00000001617	SEMA3F	naive CD4 T-cell	0.0	0.0	0.0
ENSG00000001617	SEMA3F	naive CD8 T-cell	0.0	0.0	0.0
ENSG00000001617	SEMA3F	neutrophil	0.0	0.0	0.0
ENSG00000001617	SEMA3F	NK-cell	0.0	0.0	0.0
ENSG00000001617	SEMA3F	non-classical monocyte	0.0	0.0	0.0
ENSG00000001617	SEMA3F	plasmacytoid DC	0.0	0.0	0.0
ENSG00000001617	SEMA3F	T-reg	0.0	0.0	0.0
ENSG00000001617	SEMA3F	total PBMC	0.0	0.0	0.0
ENSG00000001626	CFTR	basophil	0.0	0.0	0.0
ENSG00000001626	CFTR	classical monocyte	0.0	0.0	0.0
ENSG00000001626	CFTR	eosinophil	0.0	0.0	0.0
ENSG00000001626	CFTR	gdT-cell	0.0	0.0	0.0
ENSG00000001626	CFTR	intermediate monocyte	0.0	0.0	0.0
ENSG00000001626	CFTR	MAIT T-cell	0.0	0.0	0.0
ENSG00000001626	CFTR	memory B-cell	0.0	0.0	0.0
ENSG00000001626	CFTR	memory CD4 T-cell	0.0	0.0	0.0
ENSG00000001626	CFTR	memory CD8 T-cell	0.0	0.0	0.0
ENSG00000001626	CFTR	myeloid DC	0.0	0.0	0.0
ENSG00000001626	CFTR	naive B-cell	0.0	0.0	0.0
ENSG00000001626	CFTR	naive CD4 T-cell	0.0	0.0	0.0
ENSG00000001626	CFTR	naive CD8 T-cell	0.0	0.0	0.0
ENSG00000001626	CFTR	neutrophil	0.0	0.0	0.0
ENSG00000001626	CFTR	NK-cell	0.0	0.0	0.0
ENSG00000001626	CFTR	non-classical monocyte	0.0	0.0	0.0
ENSG00000001626	CFTR	plasmacytoid DC	0.0	0.0	0.0
ENSG00000001626	CFTR	T-reg	0.0	0.0	0.0
ENSG00000001626	CFTR	total PBMC	0.0	0.0	0.0
ENSG00000001629	ANKIB1	basophil	1.0	1.2	1.4
ENSG00000001629	ANKIB1	classical monocyte	0.4	0.4	0.4
ENSG00000001629	ANKIB1	eosinophil	1.0	1.2	1.2
ENSG00000001629	ANKIB1	gdT-cell	1.0	1.2	0.9
ENSG00000001629	ANKIB1	intermediate monocyte	0.6	0.7	0.7
ENSG00000001629	ANKIB1	MAIT T-cell	0.7	0.9	0.7
ENSG00000001629	ANKIB1	memory B-cell	0.9	1.2	1.7
ENSG00000001629	ANKIB1	memory CD4 T-cell	0.8	1.0	0.9
ENSG00000001629	ANKIB1	memory CD8 T-cell	1.3	1.6	1.3
ENSG00000001629	ANKIB1	myeloid DC	0.3	0.4	0.4
ENSG00000001629	ANKIB1	naive B-cell	1.3	1.6	2.0
ENSG00000001629	ANKIB1	naive CD4 T-cell	0.6	0.8	0.7
ENSG00000001629	ANKIB1	naive CD8 T-cell	0.9	1.1	1.0
ENSG00000001629	ANKIB1	neutrophil	0.2	0.2	0.2
ENSG00000001629	ANKIB1	NK-cell	1.3	1.6	1.2
ENSG00000001629	ANKIB1	non-classical monocyte	0.5	0.6	0.6
ENSG00000001629	ANKIB1	plasmacytoid DC	1.5	1.9	1.6
ENSG00000001629	ANKIB1	T-reg	1.6	2.0	1.9
ENSG00000001629	ANKIB1	total PBMC	0.2	0.2	0.4
ENSG00000001630	CYP51A1	basophil	1.6	2.0	2.7
ENSG00000001630	CYP51A1	classical monocyte	9.1	10.9	11.3
ENSG00000001630	CYP51A1	eosinophil	3.2	4.0	3.9
ENSG00000001630	CYP51A1	gdT-cell	12.6	15.5	11.9
ENSG00000001630	CYP51A1	intermediate monocyte	13.3	16.1	16.6
ENSG00000001630	CYP51A1	MAIT T-cell	7.4	9.1	7.7
ENSG00000001630	CYP51A1	memory B-cell	10.7	13.1	15.5
ENSG00000001630	CYP51A1	memory CD4 T-cell	7.5	9.1	8.0
ENSG00000001630	CYP51A1	memory CD8 T-cell	8.8	10.8	8.9
ENSG00000001630	CYP51A1	myeloid DC	14.0	17.1	16.5
ENSG00000001630	CYP51A1	naive B-cell	8.9	11.1	12.5
ENSG00000001630	CYP51A1	naive CD4 T-cell	6.4	7.8	7.1
ENSG00000001630	CYP51A1	naive CD8 T-cell	9.3	11.4	9.7
ENSG00000001630	CYP51A1	neutrophil	1.0	1.4	1.6
ENSG00000001630	CYP51A1	NK-cell	8.6	10.7	8.1
ENSG00000001630	CYP51A1	non-classical monocyte	8.4	10.2	10.5
ENSG00000001630	CYP51A1	plasmacytoid DC	12.9	16.0	14.2
ENSG00000001630	CYP51A1	T-reg	5.9	7.3	6.9
ENSG00000001630	CYP51A1	total PBMC	3.8	4.5	8.4
ENSG00000001631	KRIT1	basophil	2.7	3.4	3.1
ENSG00000001631	KRIT1	classical monocyte	1.7	2.1	2.1
ENSG00000001631	KRIT1	eosinophil	2.1	2.7	2.6
ENSG00000001631	KRIT1	gdT-cell	3.8	4.7	3.5
ENSG00000001631	KRIT1	intermediate monocyte	1.2	1.5	1.5
ENSG00000001631	KRIT1	MAIT T-cell	2.5	3.0	2.5
ENSG00000001631	KRIT1	memory B-cell	3.2	3.9	5.5
ENSG00000001631	KRIT1	memory CD4 T-cell	3.1	3.8	3.4
ENSG00000001631	KRIT1	memory CD8 T-cell	5.0	6.2	5.1
ENSG00000001631	KRIT1	myeloid DC	1.6	1.9	1.8
ENSG00000001631	KRIT1	naive B-cell	2.6	3.2	3.0
ENSG00000001631	KRIT1	naive CD4 T-cell	3.9	4.8	4.4
ENSG00000001631	KRIT1	naive CD8 T-cell	3.9	4.7	4.2
ENSG00000001631	KRIT1	neutrophil	0.7	0.9	1.1
ENSG00000001631	KRIT1	NK-cell	9.6	12.0	8.6
ENSG00000001631	KRIT1	non-classical monocyte	1.0	1.3	1.3
ENSG00000001631	KRIT1	plasmacytoid DC	4.7	5.8	5.1
ENSG00000001631	KRIT1	T-reg	3.3	4.0	3.7
ENSG00000001631	KRIT1	total PBMC	0.8	0.9	1.7
ENSG00000002016	RAD52	basophil	4.5	5.6	6.9
ENSG00000002016	RAD52	classical monocyte	1.7	2.0	2.0
ENSG00000002016	RAD52	eosinophil	1.1	1.4	1.4
ENSG00000002016	RAD52	gdT-cell	3.0	3.7	2.8
ENSG00000002016	RAD52	intermediate monocyte	1.4	1.8	1.8
ENSG00000002016	RAD52	MAIT T-cell	3.4	4.2	3.4
ENSG00000002016	RAD52	memory B-cell	2.0	2.4	2.8
ENSG00000002016	RAD52	memory CD4 T-cell	2.8	3.4	3.0
ENSG00000002016	RAD52	memory CD8 T-cell	2.4	3.0	2.4
ENSG00000002016	RAD52	myeloid DC	2.3	2.8	2.6
ENSG00000002016	RAD52	naive B-cell	3.2	4.0	4.0
ENSG00000002016	RAD52	naive CD4 T-cell	2.9	3.6	3.3
ENSG00000002016	RAD52	naive CD8 T-cell	3.0	3.6	3.1
ENSG00000002016	RAD52	neutrophil	1.2	1.6	1.9
ENSG00000002016	RAD52	NK-cell	2.7	3.4	2.5
ENSG00000002016	RAD52	non-classical monocyte	2.0	2.4	2.4
ENSG00000002016	RAD52	plasmacytoid DC	5.5	6.8	6.0
ENSG00000002016	RAD52	T-reg	2.4	3.0	2.9
ENSG00000002016	RAD52	total PBMC	0.4	0.5	1.0
ENSG00000002330	BAD	basophil	66.5	82.1	88.5
ENSG00000002330	BAD	classical monocyte	57.5	69.1	69.9
ENSG00000002330	BAD	eosinophil	82.1	101.9	102.6
ENSG00000002330	BAD	gdT-cell	56.4	69.0	53.0
ENSG00000002330	BAD	intermediate monocyte	43.9	52.9	56.8
ENSG00000002330	BAD	MAIT T-cell	52.7	64.2	54.8
ENSG00000002330	BAD	memory B-cell	38.2	46.7	58.8
ENSG00000002330	BAD	memory CD4 T-cell	51.7	63.0	55.6
ENSG00000002330	BAD	memory CD8 T-cell	51.4	63.0	52.0
ENSG00000002330	BAD	myeloid DC	42.8	52.2	50.6
ENSG00000002330	BAD	naive B-cell	42.9	53.3	57.7
ENSG00000002330	BAD	naive CD4 T-cell	35.0	42.8	39.9
ENSG00000002330	BAD	naive CD8 T-cell	39.0	47.7	41.0
ENSG00000002330	BAD	neutrophil	58.9	78.8	92.9
ENSG00000002330	BAD	NK-cell	59.3	72.8	59.7
ENSG00000002330	BAD	non-classical monocyte	44.2	53.1	55.6
ENSG00000002330	BAD	plasmacytoid DC	85.4	105.6	94.2
ENSG00000002330	BAD	T-reg	60.4	74.8	72.0
ENSG00000002330	BAD	total PBMC	24.2	28.6	51.4
ENSG00000002549	LAP3	basophil	34.5	42.9	43.1
ENSG00000002549	LAP3	classical monocyte	154.5	185.5	200.8
ENSG00000002549	LAP3	eosinophil	36.1	44.8	44.8
ENSG00000002549	LAP3	gdT-cell	35.7	43.7	33.7
ENSG00000002549	LAP3	intermediate monocyte	168.7	203.4	210.1
ENSG00000002549	LAP3	MAIT T-cell	30.4	37.0	31.1
